City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
271,Saint-Philippe,RE,-21.3585,55.7679,67.59,70,5,5.59,clear sky
272,Lorengau,PG,-2.0226,147.2712,83.64,76,100,14.54,overcast clouds
273,San Cristobal,VE,7.7669,-72.225,71.78,97,87,3.24,overcast clouds
274,Cabo San Lucas,MX,22.8909,-109.9124,82.06,82,100,7.0,overcast clouds
275,Klyuchi,RU,52.2667,79.1667,70.14,78,100,2.84,light rain
276,Vestmannaeyjar,IS,63.4427,-20.2734,46.53,76,79,5.41,broken clouds
277,Kavieng,PG,-2.5744,150.7967,83.75,73,91,17.09,light rain
278,Chimoio,MZ,-19.1164,33.4833,54.34,89,67,8.86,broken clouds
279,Ossora,RU,59.2353,163.0719,58.23,73,62,5.12,broken clouds
280,Sao Joao Da Barra,BR,-21.6403,-41.0511,67.98,64,95,16.42,overcast clouds
281,Torbay,CA,47.6666,-52.7314,68.77,88,20,9.22,few clouds
282,Chifeng,CN,42.2683,118.9636,75.4,59,100,6.17,light rain
283,Kenora,CA,49.8167,-94.4337,63.57,36,75,9.22,broken clouds
284,Kearney,US,40.6995,-99.0815,78.33,34,0,6.91,clear sky
285,Eyl,SO,7.9803,49.8164,81.3,61,100,31.32,overcast clouds
286,Manggar,ID,-2.8833,108.2667,82.13,78,95,7.85,overcast clouds
287,Roald,NO,62.5833,6.1333,67.15,100,100,13.8,light rain
288,Broome,US,42.2506,-75.833,75.02,88,100,5.99,overcast clouds
289,Iisalmi,FI,63.5592,27.1907,60.84,85,25,3.56,scattered clouds
290,Brae,GB,60.3964,-1.353,54.34,89,100,24.25,overcast clouds
291,Moscow,RU,55.7522,37.6156,68.63,71,0,4.76,clear sky
292,Pisco,PE,-13.7,-76.2167,60.85,88,40,1.14,mist
293,Zalesovo,RU,53.9939,84.7431,66.61,93,100,4.52,overcast clouds
294,Okato,NZ,-39.2,173.8833,56.91,100,94,8.77,overcast clouds
295,Vicksburg,US,32.3526,-90.8779,75.43,81,95,2.82,overcast clouds
296,Lucea,JM,18.451,-78.1736,82.26,79,80,8.1,broken clouds
297,Awjilah,LY,29.1081,21.2869,86.27,23,0,12.62,clear sky
298,Tutoia,BR,-2.7619,-42.2744,77.95,80,29,4.14,scattered clouds
299,Sitka,US,57.0531,-135.33,65.93,69,61,6.46,broken clouds
300,Dunedin,NZ,-45.8742,170.5036,48.79,76,100,4.0,overcast clouds
301,Dargaville,NZ,-35.9333,173.8833,59.59,62,46,6.82,scattered clouds
302,Two Rivers,US,44.1539,-87.5693,73.89,37,40,20.71,scattered clouds
303,Fort Nelson,CA,58.8053,-122.7002,69.39,56,75,4.61,broken clouds
304,Gazimurskiy Zavod,RU,51.5461,118.3266,73.87,56,54,2.51,broken clouds
305,Gladstone,AU,-23.85,151.25,73.78,53,88,6.91,overcast clouds
306,Isangel,VU,-19.55,169.2667,80.71,83,75,6.91,broken clouds
307,Coldwater,US,41.9403,-85.0005,72.9,46,0,8.05,clear sky
308,Hithadhoo,MV,-0.6,73.0833,83.3,71,79,11.48,broken clouds
309,Rio Cuarto,AR,-33.1307,-64.3499,45.68,87,75,8.05,broken clouds
310,Assiniboia,CA,49.6334,-105.9845,75.02,20,5,11.5,clear sky
311,Alta Floresta,BR,-9.8756,-56.0861,73.17,45,9,4.54,clear sky
312,Baykit,RU,61.67,96.37,58.68,98,100,3.09,moderate rain
313,Suntar,RU,62.1444,117.6319,67.48,74,100,10.49,light rain
314,Whitehorse,CA,60.7161,-135.0538,80.02,29,75,9.22,shower rain
315,Soldotna,US,60.4878,-151.0583,64.96,63,0,9.22,clear sky
316,Flinders,AU,-34.5833,150.8552,61.38,59,27,7.0,scattered clouds
317,Lata,PT,40.1629,-8.3327,61.81,90,3,4.03,clear sky
318,Dicabisagan,PH,17.0818,122.4157,78.51,93,100,6.08,light rain
319,Columbus,US,39.9612,-82.9988,81.01,81,0,9.22,clear sky
320,Lufilufi,WS,-13.8745,-171.5986,83.98,79,57,17.0,light rain
321,Carmarthen,GB,51.8555,-4.3054,56.89,94,100,7.4,overcast clouds
322,Hovd,MN,48.0056,91.6419,76.21,27,1,1.14,clear sky
323,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,72.34,96,2,3.98,clear sky
324,Tilichiki,RU,60.4667,166.1,57.76,70,65,8.37,broken clouds
325,Zhanaozen,KZ,43.3,52.8,84.85,32,100,18.9,overcast clouds
326,Uige,AO,-7.6087,15.0613,62.69,45,0,3.0,clear sky
327,Dobrinka,RU,52.1653,40.4731,55.9,85,0,6.55,clear sky
328,Antequera,ES,37.0194,-4.5612,70.93,44,0,5.5,clear sky
329,Tefe,BR,-3.3542,-64.7114,74.5,80,16,1.63,few clouds
330,Okhotsk,RU,59.3833,143.3,53.76,83,89,7.49,overcast clouds
331,Bereda,ES,43.2686,-7.5406,48.15,100,27,2.1,scattered clouds
332,Upernavik,GL,72.7868,-56.1549,41.07,69,100,5.17,overcast clouds
333,Saldanha,ZA,-33.0117,17.9442,51.85,55,0,9.73,clear sky
334,Keuruu,FI,62.2667,24.7,63.81,63,8,2.1,clear sky
335,Talaya,RU,61.3833,152.75,79.05,39,18,2.06,few clouds
336,Codrington,AU,-38.2667,141.9667,51.69,69,87,6.93,overcast clouds
337,Banda Aceh,ID,5.5577,95.3222,80.98,72,100,8.34,overcast clouds
338,Maun,BW,-19.9833,23.4167,55.36,76,0,13.8,clear sky
339,Vung Tau,VN,10.346,107.0843,83.52,74,13,5.1,few clouds
340,Mago,RU,53.2514,140.1822,68.16,53,19,0.58,few clouds
341,Daru,PG,-9.0763,143.2092,80.6,89,100,13.6,overcast clouds
342,Kargopol,RU,61.5071,38.9456,61.18,90,12,5.53,few clouds
343,Deputatskiy,RU,69.3,139.9,40.87,59,100,6.11,overcast clouds
344,Bonthe,SL,7.5264,-12.505,77.74,87,97,6.53,light rain
345,Backa Palanka,RS,45.2508,19.3919,66.94,61,0,3.49,clear sky
346,Sofiyivka,UA,48.0493,33.8746,68.59,77,92,13.18,overcast clouds
347,Springbok,ZA,-29.6643,17.8865,59.13,55,0,22.91,clear sky
